iter	Passed	Remaining
401	17131	25483
402	17173	25440
403	17214	25394
404	17252	25346
405	17293	25300
406	17333	25254
407	17370	25203
408	17409	25156
409	17451	25113
410	17492	25068
411	17532	25021
412	17572	24975
413	17613	24931
414	17657	24890
415	17699	24847
416	17740	24802
417	17783	24761
418	17825	24716
419	17864	24670
420	17909	24630
421	17948	24584
422	17991	24542
423	18031	24495
424	18068	24445
425	18109	24401
426	18151	24357
427	18194	24315
428	18235	24271
429	18274	24224
430	18318	24184
431	18359	24139
432	18402	24097
433	18443	24053
434	18483	24007
435	18524	23962
436	18562	23915
437	18604	23871
438	18647	23829
439	18690	23788
440	18733	23745
441	18753	23674
442	18792	23628
443	18831	23581
444	18871	23536
445	18912	23492
446	18955	23450
447	18995	23404
448	19033	23357
449	19069	23307
450	19108	23260
451	19146	23213
452	19187	23169
453	19225	23121
454	19263	23073
455	19302	23027
456	19346	22987
457	19386	22942
458	19430	22902
459	19473	22859
460	19509	22810
461	19548	22764
462	19588	22719
463	19625	22670
464	19663	22623
465	19701	22576
466	19740	22529
467	19779	22484
468	19821	22441
469	19861	22397
470	19901	22352
471	19938	22304
472	19978	22259
473	20018	22214
474	20058	22169
475	20097	22124
476	20136	22077
477	20173	22030
478	20213	21985
479	20253	21940
480	20294	21898
481	20333	21852
482	20372	21806
483	20414	21764
484	20452	21717
485	20491	21672
486	20534	21631
487	20573	21585
488	20612	21540
489	20652	21495
490	20690	21448
491	20729	21403
492	20765	21354
493	20805	21310
494	20843	21264
495	20883	21220
496	20923	21176
497	20963	21131
498	21004	21088
499	21045	21045
500	21084	21000
501	21126	20957
502	21170	20917
503	21207	20871
504	21247	20827
505	21287	20782
506	21327	20738
507	21368	20695
508	21420	20663
509	21460	20619
510	21499	20573
511	21539	20529
512	21582	20488
513	21622	20444
514	21662	20400
515	21700	20355
516	21740	20310
517	21780	20266
518	21818	20221
519	21858	20177
520	21897	20131
521	21936	20087
522	21976	20043
523	22016	19999
524	22055	19954
525	22095	19910
526	22136	19868
527	22179	19826
528	22220	19784
529	22258	19738
530	22298	19694
531	22338	19651
532	22377	19606
533	22416	19561
534	22457	19519
535	22495	19473
536	22534	19429
537	22576	19387
538	22615	19342
539	22654	19298
540	22693	19253
541	22733	19209
542	22776	19169
543	22817	19126
544	22858	19083
545	22900	19042
546	22941	18998
547	22980	18954
548	23020	18911
549	23060	18867
550	23098	18822
551	23137	18777
552	23176	18734
553	23220	18694
554	23259	18649
555	23298	18605
556	23336	18560
557	23377	18517
558	23417	18473
559	23457	18430
560	23497	18387
561	23536	18343
562	23574	18298
563	23613	18254
564	23653	18211
565	23692	18167
566	23731	18123
567	23768	18077
568	23809	18034
569	23852	17994
570	23890	17949
571	23927	17903
572	23965	17859
573	24004	17815
574	24041	17769
575	24080	17725
576	24122	17684
577	24164	17642
578	24202	17598
579	24241	17554
580	24280	17510
581	24320	17467
582	24360	17424
583	24398	17379
584	24436	17335
585	24476	17292
586	24517	17249
587	24556	17206
588	24594	17161
589	24637	17121
590	24676	17077
591	24713	17032
592	24752	16988
593	24789	16943
594	24828	16899
595	24867	16856
596	24908	16814
597	24947	16770
598	24990	16730
599	25029	16686
600	25066	16641
601	25109	16600
602	25148	16556
603	25185	16512
604	25226	16470
605	25272	16431
606	25315	16390
607	25356	16348
608	25399	16307
609	25446	16269
610	25484	16225
611	25523	16181
612	25560	16137
613	25604	16096
614	25644	16053
615	25683	16010
616	25721	15966
617	25764	15925
618	25808	15885
619	25848	15842
620	25891	15801
621	25940	15764
622	25988	15726
623	26035	15687
624	26076	15645
625	26122	15606
626	26172	15569
627	26217	15529
628	26263	15491
629	26307	15450
630	26354	15411
631	26398	15371
632	26439	15328
633	26481	15287
634	26520	15244
635	26561	15201
636	26603	15160
637	26646	15119
638	26689	15078
639	26733	15037
640	26776	14996
641	26818	14955
642	26860	14913
643	26902	14871
644	26947	14831
645	26985	14787
646	27026	14745
647	27067	14703
648	27107	14660
649	27147	14618
650	27190	14576
651	27228	14533
652	27267	14489
653	27309	14448
654	27348	14405
655	27389	14362
656	27430	14320
657	27472	14279
658	27511	14235
659	27550	14192
660	27591	14150
661	27630	14107
662	27669	14064
663	27708	14021
664	27746	13977
665	27785	13934
666	27825	13891
667	27864	13848
668	27903	13805
669	27945	13763
670	27984	13721
671	28028	13680
672	28065	13636
673	28105	13594
674	28144	13551
675	28186	13509
676	28232	13469
677	28271	13426
678	28308	13382
679	28348	13340
680	28387	13297
681	28428	13255
682	28467	13212
683	28507	13170
684	28545	13126
685	28585	13084
686	28629	13043
687	28668	13000
688	28710	12959
689	28751	12917
690	28793	12875
691	28835	12834
692	28877	12792
693	28922	12752
694	28961	12709
695	29001	12667
696	29039	12624
697	29080	12582
698	29122	12540
699	29163	12498
700	29203	12456
701	29241	12413
702	29283	12371
703	29323	12329
704	29360	12285
705	29398	12242
706	29436	12199
707	29475	12156
708	29524	12117
709	29563	12075
710	29601	12032
711	29645	11991
712	29683	11948
713	29722	11905
714	29761	11862
715	29799	11819
716	29837	11776
717	29875	11733
718	29913	11690
719	29953	11648
720	29991	11605
721	30029	11562
722	30069	11520
723	30107	11477
724	30145	11434
725	30185	11392
726	30226	11350
727	30264	11307
728	30303	11265
729	30343	11222
730	30384	11181
731	30424	11138
732	30463	11096
733	30504	11054
734	30545	11012
735	30585	10970
736	30624	10928
737	30663	10885
738	30703	10843
739	30743	10801
740	30784	10760
741	30822	10717
742	30863	10675
743	30903	10633
744	30943	10591
745	30981	10548
746	31023	10507
747	31063	10465
748	31104	10423
749	31144	10381
750	31184	10339
751	31224	10297
752	31264	10255
753	31302	10212
754	31340	10170
755	31377	10127
756	31415	10084
757	31460	10044
758	31501	10002
759	31540	9960
760	31578	9917
761	31618	9875
762	31657	9833
763	31699	9791
764	31739	9750
765	31779	9708
766	31819	9666
767	31860	9624
768	31899	9582
769	31940	9540
770	31982	9499
771	32021	9457
772	32059	9414
773	32099	9372
774	32138	9330
775	32180	9289
776	32219	9247
777	32258	9204
778	32296	9162
779	32338	9121
780	32374	9078
781	32411	9035
782	32453	8994
783	32495	8952
784	32543	8913
785	32586	8872
786	32626	8830
787	32669	8789
788	32711	8747
789	32749	8705
790	32787	8663
791	32828	8621
792	32865	8578
793	32903	8536
794	32942	8494
795	32981	8452
796	33019	8410
797	33057	8367
798	33093	8325
799	33131	8282
800	33167	8240
801	33204	8197
802	33240	8154
803	33279	8112
804	33319	8071
805	33357	8028
806	33397	7987
807	33437	7945
808	33476	7903
809	33514	7861
810	33552	7819
811	33590	7777
812	33631	7735
813	33669	7693
814	33708	7651
815	33746	7609
816	33784	7567
817	33823	7525
818	33865	7484
819	33905	7442
820	33945	7400
821	33983	7359
822	34022	7317
823	34062	7275
824	34100	7233
825	34138	7191
826	34175	7149
827	34212	7106
828	34248	7064
829	34288	7022
830	34325	6980
831	34366	6939
832	34404	6897
833	34443	6855
834	34483	6814
835	34521	6772
836	34561	6730
